2024-06-09 16:09:45,669.hm_producer.INFO ==================================================
2024-06-09 16:09:45,670.hm_producer.INFO Today is 2024-06-09 at 04:09 PM
2024-06-09 16:09:45,670.hm_producer.INFO Running on: nt Windows 10
2024-06-09 16:09:45,670.hm_producer.INFO Python version:  3.10.11
2024-06-09 16:09:45,670.hm_producer.INFO Python path: C:\Users\Hayley\Documents\streaming-06-smart-smoker\.venv
2024-06-09 16:09:45,671.hm_producer.INFO Working dir: C:\Users\Hayley\Documents\streaming-06-smart-smoker
2024-06-09 16:09:45,671.hm_producer.INFO ==================================================
2024-06-09 16:09:47,660.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:20:15,84.2
2024-06-09 16:09:47,661.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:20:20,84.2
2024-06-09 16:09:47,661.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:21:10,87.6
2024-06-09 16:09:47,662.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:21:15,87.6
2024-06-09 16:09:47,662.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:22:10,86.3
2024-06-09 16:09:47,663.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:22:15,86.3
2024-06-09 16:09:47,663.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:23:10,92.0
2024-06-09 16:09:47,663.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:23:15,92.0
2024-06-09 16:09:47,664.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:24:10,96.8
2024-06-09 16:09:47,664.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:24:15,96.8
2024-06-09 16:09:47,665.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:25:05,100.6
2024-06-09 16:09:47,666.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:25:10,100.9
2024-06-09 16:09:47,666.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:25:15,100.9
2024-06-09 16:09:47,667.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:26:10,104.8
2024-06-09 16:09:47,667.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:26:15,104.8
2024-06-09 16:09:47,668.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:27:10,108.2
2024-06-09 16:09:47,668.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:27:15,108.2
2024-06-09 16:09:47,669.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:28:10,111.4
2024-06-09 16:09:47,669.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:28:15,111.4
2024-06-09 16:09:47,669.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:29:10,114.2
2024-06-09 16:09:47,670.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:29:15,114.2
2024-06-09 16:09:47,670.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:30:10,116.9
2024-06-09 16:09:47,670.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:30:15,116.9
2024-06-09 16:09:47,671.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:31:10,119.4
2024-06-09 16:09:47,671.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:31:15,119.4
2024-06-09 16:09:47,672.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:32:10,120.1
2024-06-09 16:09:47,672.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:32:15,120.1
2024-06-09 16:09:47,672.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:33:10,106.2
2024-06-09 16:09:47,673.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:33:15,106.2
2024-06-09 16:09:47,673.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:34:10,103.5
2024-06-09 16:09:47,673.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:34:15,103.5
2024-06-09 16:09:47,673.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:35:10,105.3
2024-06-09 16:09:47,674.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:35:15,105.3
2024-06-09 16:09:47,675.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:36:10,106.9
2024-06-09 16:09:47,675.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:36:15,106.9
2024-06-09 16:09:47,675.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:37:10,111.9
2024-06-09 16:09:47,676.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:37:15,111.9
2024-06-09 16:09:47,676.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:38:10,114.2
2024-06-09 16:09:47,677.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:38:15,114.2
2024-06-09 16:09:47,677.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:39:10,115.5
2024-06-09 16:09:47,678.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:39:15,115.5
2024-06-09 16:09:47,679.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:40:10,112.6
2024-06-09 16:09:47,679.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:40:15,112.6
2024-06-09 16:09:47,679.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:41:10,118.8
2024-06-09 16:09:47,680.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:41:15,118.8
2024-06-09 16:09:47,680.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:42:10,113.2
2024-06-09 16:09:47,680.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:42:15,113.2
2024-06-09 16:09:47,681.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:43:10,126.7
2024-06-09 16:09:47,681.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:43:15,126.7
2024-06-09 16:09:47,682.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:44:10,130.0
2024-06-09 16:09:47,682.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:44:15,130.0
2024-06-09 16:09:47,682.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:45:10,130.0
2024-06-09 16:09:47,683.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:45:15,130.0
2024-06-09 16:09:47,683.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:46:10,137.3
2024-06-09 16:09:47,684.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:46:15,137.3
2024-06-09 16:09:47,685.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:47:10,139.5
2024-06-09 16:09:47,685.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:47:15,139.5
2024-06-09 16:09:47,686.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:48:10,141.8
2024-06-09 16:09:47,686.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:48:15,141.8
2024-06-09 16:09:47,687.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:49:10,143.6
2024-06-09 16:09:47,687.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:49:15,143.6
2024-06-09 16:09:47,688.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:50:10,145.0
2024-06-09 16:09:47,688.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:50:15,145.0
2024-06-09 16:09:47,689.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:51:10,146.2
2024-06-09 16:09:47,689.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:51:15,146.2
2024-06-09 16:09:47,690.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:52:10,147.5
2024-06-09 16:09:47,690.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:52:15,147.5
2024-06-09 16:09:47,691.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:53:10,148.7
2024-06-09 16:09:47,692.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:53:15,148.7
2024-06-09 16:09:47,692.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:54:10,149.9
2024-06-09 16:09:47,693.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:54:15,149.9
2024-06-09 16:09:47,694.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:55:05,151.1
2024-06-09 16:09:47,694.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:55:10,151.2
2024-06-09 16:09:47,695.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:55:15,151.2
2024-06-09 16:09:47,695.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:56:10,152.4
2024-06-09 16:09:47,696.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:56:15,152.4
2024-06-09 16:09:47,699.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:57:10,153.4
2024-06-09 16:09:47,706.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:57:15,153.4
2024-06-09 16:09:47,708.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:58:10,154.5
2024-06-09 16:09:47,709.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:58:15,154.5
2024-06-09 16:09:47,713.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:59:10,155.6
2024-06-09 16:09:47,716.hm_producer.INFO  [*] Smoker Temp is 05/22/21 12:59:15,155.6
2024-06-09 16:09:47,730.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:00:10,156.5
2024-06-09 16:09:47,731.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:00:15,156.5
2024-06-09 16:09:47,732.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:01:10,157.8
2024-06-09 16:09:47,733.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:01:15,157.8
2024-06-09 16:09:47,741.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:02:10,158.8
2024-06-09 16:09:47,745.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:02:15,158.8
2024-06-09 16:09:47,747.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:03:10,159.9
2024-06-09 16:09:47,750.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:03:15,159.9
2024-06-09 16:09:47,751.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:04:10,160.7
2024-06-09 16:09:47,751.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:04:15,160.7
2024-06-09 16:09:47,752.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:05:10,161.9
2024-06-09 16:09:47,755.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:05:15,161.9
2024-06-09 16:09:47,756.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:06:10,163.1
2024-06-09 16:09:47,756.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:06:15,163.1
2024-06-09 16:09:47,757.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:07:10,164.3
2024-06-09 16:09:47,757.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:07:15,164.3
2024-06-09 16:09:47,760.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:08:10,165.6
2024-06-09 16:09:47,779.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:08:15,165.6
2024-06-09 16:09:47,780.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:09:10,166.7
2024-06-09 16:09:47,781.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:09:15,166.7
2024-06-09 16:09:47,796.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:10:10,167.8
2024-06-09 16:09:47,803.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:10:15,167.8
2024-06-09 16:09:47,804.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:11:10,168.8
2024-06-09 16:09:47,805.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:11:15,168.8
2024-06-09 16:09:47,805.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:12:10,170.2
2024-06-09 16:09:47,805.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:12:15,170.2
2024-06-09 16:09:47,806.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:13:10,171.7
2024-06-09 16:09:47,806.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:13:15,171.7
2024-06-09 16:09:47,807.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:14:10,173.3
2024-06-09 16:09:47,807.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:14:15,173.3
2024-06-09 16:09:47,808.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:15:10,174.6
2024-06-09 16:09:47,808.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:15:15,174.6
2024-06-09 16:09:47,810.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:16:10,175.5
2024-06-09 16:09:47,810.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:16:15,175.5
2024-06-09 16:09:47,811.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:17:10,176.8
2024-06-09 16:09:47,812.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:17:15,176.8
2024-06-09 16:09:47,812.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:18:10,177.8
2024-06-09 16:09:47,812.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:18:15,177.8
2024-06-09 16:09:47,813.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:19:10,178.9
2024-06-09 16:09:47,813.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:19:15,178.9
2024-06-09 16:09:47,814.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:20:10,180.3
2024-06-09 16:09:47,814.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:20:15,180.3
2024-06-09 16:09:47,814.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:21:10,181.4
2024-06-09 16:09:47,815.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:21:15,181.4
2024-06-09 16:09:47,815.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:22:10,182.6
2024-06-09 16:09:47,816.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:22:15,182.6
2024-06-09 16:09:47,817.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:23:10,183.9
2024-06-09 16:09:47,818.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:23:15,183.9
2024-06-09 16:09:47,819.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:24:10,184.8
2024-06-09 16:09:47,819.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:24:15,184.8
2024-06-09 16:09:47,820.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:25:10,186.0
2024-06-09 16:09:47,820.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:25:15,186.0
2024-06-09 16:09:47,820.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:26:10,187.1
2024-06-09 16:09:47,821.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:26:15,187.1
2024-06-09 16:09:47,822.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:27:10,211.9
2024-06-09 16:09:47,822.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:27:15,211.9
2024-06-09 16:09:47,823.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:28:10,215.3
2024-06-09 16:09:47,824.hm_producer.INFO  [*] Smoker Temp is 05/22/21 13:28:15,215.3
